1.+1.i    1.+2.i    1.+3.i    1.+4.i    1.+5.i    1.+6.i    1.+7.i    1.+8.i    1.+9.i    1.+10.i    1.+11.i    1.+12.i    1.+13.i    1.+14.i    1.+15.i    1.+16.i    1.+17.i    1.+18.i    1.+19.i    1.+20.i    1.+21.i    1.+22.i    1.+23.i    1.+24.i    1.+25.i    1.+26.i    1.+27.i    1.+28.i    1.+29.i    1.+30.i    1.+31.i    1.+32.i    1.+33.i    1.+34.i    1.+35.i    1.+36.i    1.+37.i    1.+38.i    1.+39.i    1.+40.i    1.+41.i    1.+42.i    1.+43.i    1.+44.i    1.+45.i    1.+46.i    1.+47.i    1.+48.i    1.+49.i    1.+50.i    1.+51.i    1.+52.i    1.+53.i    1.+54.i    1.+55.i    1.+56.i    1.+57.i    1.+58.i    1.+59.i    1.+60.i    1.+61.i    1.+62.i    1.+63.i    1.+64.i    1.+65.i    1.+66.i    1.+67.i    1.+68.i    1.+69.i    1.+70.i    1.+71.i    1.+72.i    1.+73.i    1.+74.i    1.+75.i    1.+76.i    1.+77.i    1.+78.i    1.+79.i    1.+80.i    1.+81.i    1.+82.i    1.+83.i    1.+84.i    1.+85.i    1.+86.i    1.+87.i    1.+88.i    1.+89.i    1.+90.i    1.+91.i    1.+92.i    1.+93.i    1.+94.i    1.+95.i    1.+96.i    1.+97.i    1.+98.i    1.+99.i    1.+100.i
12.+1.i    12.+2.i    12.+3.i    12.+4.i    12.+5.i    12.+6.i    12.+7.i    12.+8.i    12.+9.i    12.+10.i    12.+11.i    12.+12.i    12.+13.i    12.+14.i    12.+15.i    12.+16.i    12.+17.i    12.+18.i    12.+19.i    12.+20.i    12.+21.i    12.+22.i    12.+23.i    12.+24.i    12.+25.i    12.+26.i    12.+27.i    12.+28.i    12.+29.i    12.+30.i    12.+31.i    12.+32.i    12.+33.i    12.+34.i    12.+35.i    12.+36.i    12.+37.i    12.+38.i    12.+39.i    12.+40.i    12.+41.i    12.+42.i    12.+43.i    12.+44.i    12.+45.i    12.+46.i    12.+47.i    12.+48.i    12.+49.i    12.+50.i    12.+51.i    12.+52.i    12.+53.i    12.+54.i    12.+55.i    12.+56.i    12.+57.i    12.+58.i    12.+59.i    12.+60.i    12.+61.i    12.+62.i    12.+63.i    12.+64.i    12.+65.i    12.+66.i    12.+67.i    12.+68.i    12.+69.i    12.+70.i    12.+71.i    12.+72.i    12.+73.i    12.+74.i    12.+75.i    12.+76.i    12.+77.i    12.+78.i    12.+79.i    12.+80.i    12.+81.i    12.+82.i    12.+83.i    12.+84.i    12.+85.i    12.+86.i    12.+87.i    12.+88.i    12.+89.i    12.+90.i    12.+91.i    12.+92.i    12.+93.i    12.+94.i    12.+95.i    12.+96.i    12.+97.i    12.+98.i    12.+99.i    12.+100.i
13.+1.i    13.+2.i    13.+3.i    13.+4.i    13.+5.i    13.+6.i    13.+7.i    13.+8.i    13.+9.i    13.+10.i    13.+11.i    13.+12.i    13.+13.i    13.+14.i    13.+15.i    13.+16.i    13.+17.i    13.+18.i    13.+19.i    13.+20.i    13.+21.i    13.+22.i    13.+23.i    13.+24.i    13.+25.i    13.+26.i    13.+27.i    13.+28.i    13.+29.i    13.+30.i    13.+31.i    13.+32.i    13.+33.i    13.+34.i    13.+35.i    13.+36.i    13.+37.i    13.+38.i    13.+39.i    13.+40.i    13.+41.i    13.+42.i    13.+43.i    13.+44.i    13.+45.i    13.+46.i    13.+47.i    13.+48.i    13.+49.i    13.+50.i    13.+51.i    13.+52.i    13.+53.i    13.+54.i    13.+55.i    13.+56.i    13.+57.i    13.+58.i    13.+59.i    13.+60.i    13.+61.i    13.+62.i    13.+63.i    13.+64.i    13.+65.i    13.+66.i    13.+67.i    13.+68.i    13.+69.i    13.+70.i    13.+71.i    13.+72.i    13.+73.i    13.+74.i    13.+75.i    13.+76.i    13.+77.i    13.+78.i    13.+79.i    13.+80.i    13.+81.i    13.+82.i    13.+83.i    13.+84.i    13.+85.i    13.+86.i    13.+87.i    13.+88.i    13.+89.i    13.+90.i    13.+91.i    13.+92.i    13.+93.i    13.+94.i    13.+95.i    13.+96.i    13.+97.i    13.+98.i    13.+99.i    13.+100.i
14.+1.i    14.+2.i    14.+3.i    14.+4.i    14.+5.i    14.+6.i    14.+7.i    14.+8.i    14.+9.i    14.+10.i    14.+11.i    14.+12.i    14.+13.i    14.+14.i    14.+15.i    14.+16.i    14.+17.i    14.+18.i    14.+19.i    14.+20.i    14.+21.i    14.+22.i    14.+23.i    14.+24.i    14.+25.i    14.+26.i    14.+27.i    14.+28.i    14.+29.i    14.+30.i    14.+31.i    14.+32.i    14.+33.i    14.+34.i    14.+35.i    14.+36.i    14.+37.i    14.+38.i    14.+39.i    14.+40.i    14.+41.i    14.+42.i    14.+43.i    14.+44.i    14.+45.i    14.+46.i    14.+47.i    14.+48.i    14.+49.i    14.+50.i    14.+51.i    14.+52.i    14.+53.i    14.+54.i    14.+55.i    14.+56.i    14.+57.i    14.+58.i    14.+59.i    14.+60.i    14.+61.i    14.+62.i    14.+63.i    14.+64.i    14.+65.i    14.+66.i    14.+67.i    14.+68.i    14.+69.i    14.+70.i    14.+71.i    14.+72.i    14.+73.i    14.+74.i    14.+75.i    14.+76.i    14.+77.i    14.+78.i    14.+79.i    14.+80.i    14.+81.i    14.+82.i    14.+83.i    14.+84.i    14.+85.i    14.+86.i    14.+87.i    14.+88.i    14.+89.i    14.+90.i    14.+91.i    14.+92.i    14.+93.i    14.+94.i    14.+95.i    14.+96.i    14.+97.i    14.+98.i    14.+99.i    14.+100.i
15.+1.i    15.+2.i    15.+3.i    15.+4.i    15.+5.i    15.+6.i    15.+7.i    15.+8.i    15.+9.i    15.+10.i    15.+11.i    15.+12.i    15.+13.i    15.+14.i    15.+15.i    15.+16.i    15.+17.i    15.+18.i    15.+19.i    15.+20.i    15.+21.i    15.+22.i    15.+23.i    15.+24.i    15.+25.i    15.+26.i    15.+27.i    15.+28.i    15.+29.i    15.+30.i    15.+31.i    15.+32.i    15.+33.i    15.+34.i    15.+35.i    15.+36.i    15.+37.i    15.+38.i    15.+39.i    15.+40.i    15.+41.i    15.+42.i    15.+43.i    15.+44.i    15.+45.i    15.+46.i    15.+47.i    15.+48.i    15.+49.i    15.+50.i    15.+51.i    15.+52.i    15.+53.i    15.+54.i    15.+55.i    15.+56.i    15.+57.i    15.+58.i    15.+59.i    15.+60.i    15.+61.i    15.+62.i    15.+63.i    15.+64.i    15.+65.i    15.+66.i    15.+67.i    15.+68.i    15.+69.i    15.+70.i    15.+71.i    15.+72.i    15.+73.i    15.+74.i    15.+75.i    15.+76.i    15.+77.i    15.+78.i    15.+79.i    15.+80.i    15.+81.i    15.+82.i    15.+83.i    15.+84.i    15.+85.i    15.+86.i    15.+87.i    15.+88.i    15.+89.i    15.+90.i    15.+91.i    15.+92.i    15.+93.i    15.+94.i    15.+95.i    15.+96.i    15.+97.i    15.+98.i    15.+99.i    15.+100.i
16.+1.i    16.+2.i    16.+3.i    16.+4.i    16.+5.i    16.+6.i    16.+7.i    16.+8.i    16.+9.i    16.+10.i    16.+11.i    16.+12.i    16.+13.i    16.+14.i    16.+15.i    16.+16.i    16.+17.i    16.+18.i    16.+19.i    16.+20.i    16.+21.i    16.+22.i    16.+23.i    16.+24.i    16.+25.i    16.+26.i    16.+27.i    16.+28.i    16.+29.i    16.+30.i    16.+31.i    16.+32.i    16.+33.i    16.+34.i    16.+35.i    16.+36.i    16.+37.i    16.+38.i    16.+39.i    16.+40.i    16.+41.i    16.+42.i    16.+43.i    16.+44.i    16.+45.i    16.+46.i    16.+47.i    16.+48.i    16.+49.i    16.+50.i    16.+51.i    16.+52.i    16.+53.i    16.+54.i    16.+55.i    16.+56.i    16.+57.i    16.+58.i    16.+59.i    16.+60.i    16.+61.i    16.+62.i    16.+63.i    16.+64.i    16.+65.i    16.+66.i    16.+67.i    16.+68.i    16.+69.i    16.+70.i    16.+71.i    16.+72.i    16.+73.i    16.+74.i    16.+75.i    16.+76.i    16.+77.i    16.+78.i    16.+79.i    16.+80.i    16.+81.i    16.+82.i    16.+83.i    16.+84.i    16.+85.i    16.+86.i    16.+87.i    16.+88.i    16.+89.i    16.+90.i    16.+91.i    16.+92.i    16.+93.i    16.+94.i    16.+95.i    16.+96.i    16.+97.i    16.+98.i    16.+99.i    16.+100.i
17.+1.i    17.+2.i    17.+3.i    17.+4.i    17.+5.i    17.+6.i    17.+7.i    17.+8.i    17.+9.i    17.+10.i    17.+11.i    17.+12.i    17.+13.i    17.+14.i    17.+15.i    17.+16.i    17.+17.i    17.+18.i    17.+19.i    17.+20.i    17.+21.i    17.+22.i    17.+23.i    17.+24.i    17.+25.i    17.+26.i    17.+27.i    17.+28.i    17.+29.i    17.+30.i    17.+31.i    17.+32.i    17.+33.i    17.+34.i    17.+35.i    17.+36.i    17.+37.i    17.+38.i    17.+39.i    17.+40.i    17.+41.i    17.+42.i    17.+43.i    17.+44.i    17.+45.i    17.+46.i    17.+47.i    17.+48.i    17.+49.i    17.+50.i    17.+51.i    17.+52.i    17.+53.i    17.+54.i    17.+55.i    17.+56.i    17.+57.i    17.+58.i    17.+59.i    17.+60.i    17.+61.i    17.+62.i    17.+63.i    17.+64.i    17.+65.i    17.+66.i    17.+67.i    17.+68.i    17.+69.i    17.+70.i    17.+71.i    17.+72.i    17.+73.i    17.+74.i    17.+75.i    17.+76.i    17.+77.i    17.+78.i    17.+79.i    17.+80.i    17.+81.i    17.+82.i    17.+83.i    17.+84.i    17.+85.i    17.+86.i    17.+87.i    17.+88.i    17.+89.i    17.+90.i    17.+91.i    17.+92.i    17.+93.i    17.+94.i    17.+95.i    17.+96.i    17.+97.i    17.+98.i    17.+99.i    17.+100.i
18.+1.i    18.+2.i    18.+3.i    18.+4.i    18.+5.i    18.+6.i    18.+7.i    18.+8.i    18.+9.i    18.+10.i    18.+11.i    18.+12.i    18.+13.i    18.+14.i    18.+15.i    18.+16.i    18.+17.i    18.+18.i    18.+19.i    18.+20.i    18.+21.i    18.+22.i    18.+23.i    18.+24.i    18.+25.i    18.+26.i    18.+27.i    18.+28.i    18.+29.i    18.+30.i    18.+31.i    18.+32.i    18.+33.i    18.+34.i    18.+35.i    18.+36.i    18.+37.i    18.+38.i    18.+39.i    18.+40.i    18.+41.i    18.+42.i    18.+43.i    18.+44.i    18.+45.i    18.+46.i    18.+47.i    18.+48.i    18.+49.i    18.+50.i    18.+51.i    18.+52.i    18.+53.i    18.+54.i    18.+55.i    18.+56.i    18.+57.i    18.+58.i    18.+59.i    18.+60.i    18.+61.i    18.+62.i    18.+63.i    18.+64.i    18.+65.i    18.+66.i    18.+67.i    18.+68.i    18.+69.i    18.+70.i    18.+71.i    18.+72.i    18.+73.i    18.+74.i    18.+75.i    18.+76.i    18.+77.i    18.+78.i    18.+79.i    18.+80.i    18.+81.i    18.+82.i    18.+83.i    18.+84.i    18.+85.i    18.+86.i    18.+87.i    18.+88.i    18.+89.i    18.+90.i    18.+91.i    18.+92.i    18.+93.i    18.+94.i    18.+95.i    18.+96.i    18.+97.i    18.+98.i    18.+99.i    18.+100.i
19.+1.i    19.+2.i    19.+3.i    19.+4.i    19.+5.i    19.+6.i    19.+7.i    19.+8.i    19.+9.i    19.+10.i    19.+11.i    19.+12.i    19.+13.i    19.+14.i    19.+15.i    19.+16.i    19.+17.i    19.+18.i    19.+19.i    19.+20.i    19.+21.i    19.+22.i    19.+23.i    19.+24.i    19.+25.i    19.+26.i    19.+27.i    19.+28.i    19.+29.i    19.+30.i    19.+31.i    19.+32.i    19.+33.i    19.+34.i    19.+35.i    19.+36.i    19.+37.i    19.+38.i    19.+39.i    19.+40.i    19.+41.i    19.+42.i    19.+43.i    19.+44.i    19.+45.i    19.+46.i    19.+47.i    19.+48.i    19.+49.i    19.+50.i    19.+51.i    19.+52.i    19.+53.i    19.+54.i    19.+55.i    19.+56.i    19.+57.i    19.+58.i    19.+59.i    19.+60.i    19.+61.i    19.+62.i    19.+63.i    19.+64.i    19.+65.i    19.+66.i    19.+67.i    19.+68.i    19.+69.i    19.+70.i    19.+71.i    19.+72.i    19.+73.i    19.+74.i    19.+75.i    19.+76.i    19.+77.i    19.+78.i    19.+79.i    19.+80.i    19.+81.i    19.+82.i    19.+83.i    19.+84.i    19.+85.i    19.+86.i    19.+87.i    19.+88.i    19.+89.i    19.+90.i    19.+91.i    19.+92.i    19.+93.i    19.+94.i    19.+95.i    19.+96.i    19.+97.i    19.+98.i    19.+99.i    19.+100.i
20.+1.i    20.+2.i    20.+3.i    20.+4.i    20.+5.i    20.+6.i    20.+7.i    20.+8.i    20.+9.i    20.+10.i    20.+11.i    20.+12.i    20.+13.i    20.+14.i    20.+15.i    20.+16.i    20.+17.i    20.+18.i    20.+19.i    20.+20.i    20.+21.i    20.+22.i    20.+23.i    20.+24.i    20.+25.i    20.+26.i    20.+27.i    20.+28.i    20.+29.i    20.+30.i    20.+31.i    20.+32.i    20.+33.i    20.+34.i    20.+35.i    20.+36.i    20.+37.i    20.+38.i    20.+39.i    20.+40.i    20.+41.i    20.+42.i    20.+43.i    20.+44.i    20.+45.i    20.+46.i    20.+47.i    20.+48.i    20.+49.i    20.+50.i    20.+51.i    20.+52.i    20.+53.i    20.+54.i    20.+55.i    20.+56.i    20.+57.i    20.+58.i    20.+59.i    20.+60.i    20.+61.i    20.+62.i    20.+63.i    20.+64.i    20.+65.i    20.+66.i    20.+67.i    20.+68.i    20.+69.i    20.+70.i    20.+71.i    20.+72.i    20.+73.i    20.+74.i    20.+75.i    20.+76.i    20.+77.i    20.+78.i    20.+79.i    20.+80.i    20.+81.i    20.+82.i    20.+83.i    20.+84.i    20.+85.i    20.+86.i    20.+87.i    20.+88.i    20.+89.i    20.+90.i    20.+91.i    20.+92.i    20.+93.i    20.+94.i    20.+95.i    20.+96.i    20.+97.i    20.+98.i    20.+99.i    20.+100.i
21.+1.i    21.+2.i    21.+3.i    21.+4.i    21.+5.i    21.+6.i    21.+7.i    21.+8.i    21.+9.i    21.+10.i    21.+11.i    21.+12.i    21.+13.i    21.+14.i    21.+15.i    21.+16.i    21.+17.i    21.+18.i    21.+19.i    21.+20.i    21.+21.i    21.+22.i    21.+23.i    21.+24.i    21.+25.i    21.+26.i    21.+27.i    21.+28.i    21.+29.i    21.+30.i    21.+31.i    21.+32.i    21.+33.i    21.+34.i    21.+35.i    21.+36.i    21.+37.i    21.+38.i    21.+39.i    21.+40.i    21.+41.i    21.+42.i    21.+43.i    21.+44.i    21.+45.i    21.+46.i    21.+47.i    21.+48.i    21.+49.i    21.+50.i    21.+51.i    21.+52.i    21.+53.i    21.+54.i    21.+55.i    21.+56.i    21.+57.i    21.+58.i    21.+59.i    21.+60.i    21.+61.i    21.+62.i    21.+63.i    21.+64.i    21.+65.i    21.+66.i    21.+67.i    21.+68.i    21.+69.i    21.+70.i    21.+71.i    21.+72.i    21.+73.i    21.+74.i    21.+75.i    21.+76.i    21.+77.i    21.+78.i    21.+79.i    21.+80.i    21.+81.i    21.+82.i    21.+83.i    21.+84.i    21.+85.i    21.+86.i    21.+87.i    21.+88.i    21.+89.i    21.+90.i    21.+91.i    21.+92.i    21.+93.i    21.+94.i    21.+95.i    21.+96.i    21.+97.i    21.+98.i    21.+99.i    21.+100.i
22.+1.i    22.+2.i    22.+3.i    22.+4.i    22.+5.i    22.+6.i    22.+7.i    22.+8.i    22.+9.i    22.+10.i    22.+11.i    22.+12.i    22.+13.i    22.+14.i    22.+15.i    22.+16.i    22.+17.i    22.+18.i    22.+19.i    22.+20.i    22.+21.i    22.+22.i    22.+23.i    22.+24.i    22.+25.i    22.+26.i    22.+27.i    22.+28.i    22.+29.i    22.+30.i    22.+31.i    22.+32.i    22.+33.i    22.+34.i    22.+35.i    22.+36.i    22.+37.i    22.+38.i    22.+39.i    22.+40.i    22.+41.i    22.+42.i    22.+43.i    22.+44.i    22.+45.i    22.+46.i    22.+47.i    22.+48.i    22.+49.i    22.+50.i    22.+51.i    22.+52.i    22.+53.i    22.+54.i    22.+55.i    22.+56.i    22.+57.i    22.+58.i    22.+59.i    22.+60.i    22.+61.i    22.+62.i    22.+63.i    22.+64.i    22.+65.i    22.+66.i    22.+67.i    22.+68.i    22.+69.i    22.+70.i    22.+71.i    22.+72.i    22.+73.i    22.+74.i    22.+75.i    22.+76.i    22.+77.i    22.+78.i    22.+79.i    22.+80.i    22.+81.i    22.+82.i    22.+83.i    22.+84.i    22.+85.i    22.+86.i    22.+87.i    22.+88.i    22.+89.i    22.+90.i    22.+91.i    22.+92.i    22.+93.i    22.+94.i    22.+95.i    22.+96.i    22.+97.i    22.+98.i    22.+99.i    22.+100.i
23.+1.i    23.+2.i    23.+3.i    23.+4.i    23.+5.i    23.+6.i    23.+7.i    23.+8.i    23.+9.i    23.+10.i    23.+11.i    23.+12.i    23.+13.i    23.+14.i    23.+15.i    23.+16.i    23.+17.i    23.+18.i    23.+19.i    23.+20.i    23.+21.i    23.+22.i    23.+23.i    23.+24.i    23.+25.i    23.+26.i    23.+27.i    23.+28.i    23.+29.i    23.+30.i    23.+31.i    23.+32.i    23.+33.i    23.+34.i    23.+35.i    23.+36.i    23.+37.i    23.+38.i    23.+39.i    23.+40.i    23.+41.i    23.+42.i    23.+43.i    23.+44.i    23.+45.i    23.+46.i    23.+47.i    23.+48.i    23.+49.i    23.+50.i    23.+51.i    23.+52.i    23.+53.i    23.+54.i    23.+55.i    23.+56.i    23.+57.i    23.+58.i    23.+59.i    23.+60.i    23.+61.i    23.+62.i    23.+63.i    23.+64.i    23.+65.i    23.+66.i    23.+67.i    23.+68.i    23.+69.i    23.+70.i    23.+71.i    23.+72.i    23.+73.i    23.+74.i    23.+75.i    23.+76.i    23.+77.i    23.+78.i    23.+79.i    23.+80.i    23.+81.i    23.+82.i    23.+83.i    23.+84.i    23.+85.i    23.+86.i    23.+87.i    23.+88.i    23.+89.i    23.+90.i    23.+91.i    23.+92.i    23.+93.i    23.+94.i    23.+95.i    23.+96.i    23.+97.i    23.+98.i    23.+99.i    23.+100.i
24.+1.i    24.+2.i    24.+3.i    24.+4.i    24.+5.i    24.+6.i    24.+7.i    24.+8.i    24.+9.i    24.+10.i    24.+11.i    24.+12.i    24.+13.i    24.+14.i    24.+15.i    24.+16.i    24.+17.i    24.+18.i    24.+19.i    24.+20.i    24.+21.i    24.+22.i    24.+23.i    24.+24.i    24.+25.i    24.+26.i    24.+27.i    24.+28.i    24.+29.i    24.+30.i    24.+31.i    24.+32.i    24.+33.i    24.+34.i    24.+35.i    24.+36.i    24.+37.i    24.+38.i    24.+39.i    24.+40.i    24.+41.i    24.+42.i    24.+43.i    24.+44.i    24.+45.i    24.+46.i    24.+47.i    24.+48.i    24.+49.i    24.+50.i    24.+51.i    24.+52.i    24.+53.i    24.+54.i    24.+55.i    24.+56.i    24.+57.i    24.+58.i    24.+59.i    24.+60.i    24.+61.i    24.+62.i    24.+63.i    24.+64.i    24.+65.i    24.+66.i    24.+67.i    24.+68.i    24.+69.i    24.+70.i    24.+71.i    24.+72.i    24.+73.i    24.+74.i    24.+75.i    24.+76.i    24.+77.i    24.+78.i    24.+79.i    24.+80.i    24.+81.i    24.+82.i    24.+83.i    24.+84.i    24.+85.i    24.+86.i    24.+87.i    24.+88.i    24.+89.i    24.+90.i    24.+91.i    24.+92.i    24.+93.i    24.+94.i    24.+95.i    24.+96.i    24.+97.i    24.+98.i    24.+99.i    24.+100.i
25.+1.i    25.+2.i    25.+3.i    25.+4.i    25.+5.i    25.+6.i    25.+7.i    25.+8.i    25.+9.i    25.+10.i    25.+11.i    25.+12.i    25.+13.i    25.+14.i    25.+15.i    25.+16.i    25.+17.i    25.+18.i    25.+19.i    25.+20.i    25.+21.i    25.+22.i    25.+23.i    25.+24.i    25.+25.i    25.+26.i    25.+27.i    25.+28.i    25.+29.i    25.+30.i    25.+31.i    25.+32.i    25.+33.i    25.+34.i    25.+35.i    25.+36.i    25.+37.i    25.+38.i    25.+39.i    25.+40.i    25.+41.i    25.+42.i    25.+43.i    25.+44.i    25.+45.i    25.+46.i    25.+47.i    25.+48.i    25.+49.i    25.+50.i    25.+51.i    25.+52.i    25.+53.i    25.+54.i    25.+55.i    25.+56.i    25.+57.i    25.+58.i    25.+59.i    25.+60.i    25.+61.i    25.+62.i    25.+63.i    25.+64.i    25.+65.i    25.+66.i    25.+67.i    25.+68.i    25.+69.i    25.+70.i    25.+71.i    25.+72.i    25.+73.i    25.+74.i    25.+75.i    25.+76.i    25.+77.i    25.+78.i    25.+79.i    25.+80.i    25.+81.i    25.+82.i    25.+83.i    25.+84.i    25.+85.i    25.+86.i    25.+87.i    25.+88.i    25.+89.i    25.+90.i    25.+91.i    25.+92.i    25.+93.i    25.+94.i    25.+95.i    25.+96.i    25.+97.i    25.+98.i    25.+99.i    25.+100.i
26.+1.i    26.+2.i    26.+3.i    26.+4.i    26.+5.i    26.+6.i    26.+7.i    26.+8.i    26.+9.i    26.+10.i    26.+11.i    26.+12.i    26.+13.i    26.+14.i    26.+15.i    26.+16.i    26.+17.i    26.+18.i    26.+19.i    26.+20.i    26.+21.i    26.+22.i    26.+23.i    26.+24.i    26.+25.i    26.+26.i    26.+27.i    26.+28.i    26.+29.i    26.+30.i    26.+31.i    26.+32.i    26.+33.i    26.+34.i    26.+35.i    26.+36.i    26.+37.i    26.+38.i    26.+39.i    26.+40.i    26.+41.i    26.+42.i    26.+43.i    26.+44.i    26.+45.i    26.+46.i    26.+47.i    26.+48.i    26.+49.i    26.+50.i    26.+51.i    26.+52.i    26.+53.i    26.+54.i    26.+55.i    26.+56.i    26.+57.i    26.+58.i    26.+59.i    26.+60.i    26.+61.i    26.+62.i    26.+63.i    26.+64.i    26.+65.i    26.+66.i    26.+67.i    26.+68.i    26.+69.i    26.+70.i    26.+71.i    26.+72.i    26.+73.i    26.+74.i    26.+75.i    26.+76.i    26.+77.i    26.+78.i    26.+79.i    26.+80.i    26.+81.i    26.+82.i    26.+83.i    26.+84.i    26.+85.i    26.+86.i    26.+87.i    26.+88.i    26.+89.i    26.+90.i    26.+91.i    26.+92.i    26.+93.i    26.+94.i    26.+95.i    26.+96.i    26.+97.i    26.+98.i    26.+99.i    26.+100.i
27.+1.i    27.+2.i    27.+3.i    27.+4.i    27.+5.i    27.+6.i    27.+7.i    27.+8.i    27.+9.i    27.+10.i    27.+11.i    27.+12.i    27.+13.i    27.+14.i    27.+15.i    27.+16.i    27.+17.i    27.+18.i    27.+19.i    27.+20.i    27.+21.i    27.+22.i    27.+23.i    27.+24.i    27.+25.i    27.+26.i    27.+27.i    27.+28.i    27.+29.i    27.+30.i    27.+31.i    27.+32.i    27.+33.i    27.+34.i    27.+35.i    27.+36.i    27.+37.i    27.+38.i    27.+39.i    27.+40.i    27.+41.i    27.+42.i    27.+43.i    27.+44.i    27.+45.i    27.+46.i    27.+47.i    27.+48.i    27.+49.i    27.+50.i    27.+51.i    27.+52.i    27.+53.i    27.+54.i    27.+55.i    27.+56.i    27.+57.i    27.+58.i    27.+59.i    27.+60.i    27.+61.i    27.+62.i    27.+63.i    27.+64.i    27.+65.i    27.+66.i    27.+67.i    27.+68.i    27.+69.i    27.+70.i    27.+71.i    27.+72.i    27.+73.i    27.+74.i    27.+75.i    27.+76.i    27.+77.i    27.+78.i    27.+79.i    27.+80.i    27.+81.i    27.+82.i    27.+83.i    27.+84.i    27.+85.i    27.+86.i    27.+87.i    27.+88.i    27.+89.i    27.+90.i    27.+91.i    27.+92.i    27.+93.i    27.+94.i    27.+95.i    27.+96.i    27.+97.i    27.+98.i    27.+99.i    27.+100.i
28.+1.i    28.+2.i    28.+3.i    28.+4.i    28.+5.i    28.+6.i    28.+7.i    28.+8.i    28.+9.i    28.+10.i    28.+11.i    28.+12.i    28.+13.i    28.+14.i    28.+15.i    28.+16.i    28.+17.i    28.+18.i    28.+19.i    28.+20.i    28.+21.i    28.+22.i    28.+23.i    28.+24.i    28.+25.i    28.+26.i    28.+27.i    28.+28.i    28.+29.i    28.+30.i    28.+31.i    28.+32.i    28.+33.i    28.+34.i    28.+35.i    28.+36.i    28.+37.i    28.+38.i    28.+39.i    28.+40.i    28.+41.i    28.+42.i    28.+43.i    28.+44.i    28.+45.i    28.+46.i    28.+47.i    28.+48.i    28.+49.i    28.+50.i    28.+51.i    28.+52.i    28.+53.i    28.+54.i    28.+55.i    28.+56.i    28.+57.i    28.+58.i    28.+59.i    28.+60.i    28.+61.i    28.+62.i    28.+63.i    28.+64.i    28.+65.i    28.+66.i    28.+67.i    28.+68.i    28.+69.i    28.+70.i    28.+71.i    28.+72.i    28.+73.i    28.+74.i    28.+75.i    28.+76.i    28.+77.i    28.+78.i    28.+79.i    28.+80.i    28.+81.i    28.+82.i    28.+83.i    28.+84.i    28.+85.i    28.+86.i    28.+87.i    28.+88.i    28.+89.i    28.+90.i    28.+91.i    28.+92.i    28.+93.i    28.+94.i    28.+95.i    28.+96.i    28.+97.i    28.+98.i    28.+99.i    28.+100.i
29.+1.i    29.+2.i    29.+3.i    29.+4.i    29.+5.i    29.+6.i    29.+7.i    29.+8.i    29.+9.i    29.+10.i    29.+11.i    29.+12.i    29.+13.i    29.+14.i    29.+15.i    29.+16.i    29.+17.i    29.+18.i    29.+19.i    29.+20.i    29.+21.i    29.+22.i    29.+23.i    29.+24.i    29.+25.i    29.+26.i    29.+27.i    29.+28.i    29.+29.i    29.+30.i    29.+31.i    29.+32.i    29.+33.i    29.+34.i    29.+35.i    29.+36.i    29.+37.i    29.+38.i    29.+39.i    29.+40.i    29.+41.i    29.+42.i    29.+43.i    29.+44.i    29.+45.i    29.+46.i    29.+47.i    29.+48.i    29.+49.i    29.+50.i    29.+51.i    29.+52.i    29.+53.i    29.+54.i    29.+55.i    29.+56.i    29.+57.i    29.+58.i    29.+59.i    29.+60.i    29.+61.i    29.+62.i    29.+63.i    29.+64.i    29.+65.i    29.+66.i    29.+67.i    29.+68.i    29.+69.i    29.+70.i    29.+71.i    29.+72.i    29.+73.i    29.+74.i    29.+75.i    29.+76.i    29.+77.i    29.+78.i    29.+79.i    29.+80.i    29.+81.i    29.+82.i    29.+83.i    29.+84.i    29.+85.i    29.+86.i    29.+87.i    29.+88.i    29.+89.i    29.+90.i    29.+91.i    29.+92.i    29.+93.i    29.+94.i    29.+95.i    29.+96.i    29.+97.i    29.+98.i    29.+99.i    29.+100.i
30.+1.i    30.+2.i    30.+3.i    30.+4.i    30.+5.i    30.+6.i    30.+7.i    30.+8.i    30.+9.i    30.+10.i    30.+11.i    30.+12.i    30.+13.i    30.+14.i    30.+15.i    30.+16.i    30.+17.i    30.+18.i    30.+19.i    30.+20.i    30.+21.i    30.+22.i    30.+23.i    30.+24.i    30.+25.i    30.+26.i    30.+27.i    30.+28.i    30.+29.i    30.+30.i    30.+31.i    30.+32.i    30.+33.i    30.+34.i    30.+35.i    30.+36.i    30.+37.i    30.+38.i    30.+39.i    30.+40.i    30.+41.i    30.+42.i    30.+43.i    30.+44.i    30.+45.i    30.+46.i    30.+47.i    30.+48.i    30.+49.i    30.+50.i    30.+51.i    30.+52.i    30.+53.i    30.+54.i    30.+55.i    30.+56.i    30.+57.i    30.+58.i    30.+59.i    30.+60.i    30.+61.i    30.+62.i    30.+63.i    30.+64.i    30.+65.i    30.+66.i    30.+67.i    30.+68.i    30.+69.i    30.+70.i    30.+71.i    30.+72.i    30.+73.i    30.+74.i    30.+75.i    30.+76.i    30.+77.i    30.+78.i    30.+79.i    30.+80.i    30.+81.i    30.+82.i    30.+83.i    30.+84.i    30.+85.i    30.+86.i    30.+87.i    30.+88.i    30.+89.i    30.+90.i    30.+91.i    30.+92.i    30.+93.i    30.+94.i    30.+95.i    30.+96.i    30.+97.i    30.+98.i    30.+99.i    30.+100.i
